design,n,p,SNR,replicate,Rhat,success,H_minus_T,N_minus_T,mean_acceptance
independent,500,1000,0.5,1,1.0201221453936071,True,107.45398942300471,107.45398942300471,0.3644833333333333
independent,500,1000,0.5,2,1.0,True,136.3839726931992,136.3839726931992,0.41277500000000006
independent,500,1000,0.5,3,1.0408351896255021,True,106.80454194360482,106.5985455535556,0.14657499999999998
independent,500,1000,0.5,4,1.0,True,126.72232162949149,126.72232162949149,0.4194
independent,500,1000,0.5,5,1.0056311493583265,True,114.08609146374329,114.08609146374329,0.3693916666666666
independent,500,1000,0.5,6,1.2518276639918156,True,111.47306817346634,111.47306817346634,0.33574166666666666
independent,500,1000,0.5,7,1.0373732090589365,True,98.44755958458518,98.44755958458518,0.2969833333333334
independent,500,1000,0.5,8,1.0,True,116.53061397086367,116.53061397086367,0.4060916666666667
independent,500,1000,0.5,9,1.0,True,116.69019215680692,116.69019215680692,0.38635833333333336
independent,500,1000,0.5,10,1.0743996119441206,True,108.05426074564821,108.05426074564821,0.4109
independent,500,1000,0.5,11,1.0,True,118.53711965140064,118.53711965140064,0.3745833333333333
independent,500,1000,0.5,12,1.0372672113210495,True,112.98588613010361,112.98588613010361,0.37514166666666665
independent,500,1000,0.5,13,1.0,True,112.8979038493153,112.8979038493153,0.3935166666666667
independent,500,1000,0.5,14,1.0,True,112.04997862862001,112.04997862862001,0.4049333333333333
independent,500,1000,0.5,15,1.0,True,117.77837175318109,117.77837175318109,0.4029583333333333
independent,500,1000,0.5,16,1.0,True,122.09717551616723,122.09717551616723,0.4015333333333333
independent,500,1000,0.5,17,1.0705560773110472,True,125.73446466972928,125.73446466972928,0.35938333333333333
independent,500,1000,0.5,18,1.0,True,134.7131583409482,134.7131583409482,0.3987833333333333
independent,500,1000,0.5,19,1.0,True,125.14583977955044,125.14583977955044,0.39225
independent,500,1000,0.5,20,1.0,True,110.74685621895696,110.74685621895696,0.40780833333333333
independent,500,1000,1.0,1,1.07803724177076,True,28.048213175483397,-5.650579453217688,0.006216666666666666
independent,500,1000,1.0,2,1.1517863662057943,True,33.74036766398331,2.596523508153041,0.006599999999999999
independent,500,1000,1.0,3,2.656528684502033,False,27.622100675342153,19.114535569568943,0.006116666666666666
independent,500,1000,1.0,4,1.3949095803071427,True,26.675003324404315,18.14524761255325,0.008308333333333334
independent,500,1000,1.0,5,1.1541437559793977,True,24.76258378872899,13.993147510601375,0.005
independent,500,1000,1.0,6,1.3072037850515805,True,33.0091712907024,9.946992441092334,0.007641666666666667
independent,500,1000,1.0,7,1.6599277023886754,False,17.989499937229084,-11.372908142053348,0.0055000000000000005
independent,500,1000,1.0,8,1.0655413231894686,True,15.395010367971736,-25.265397263387058,0.004458333333333334
independent,500,1000,1.0,9,1.1706399312009137,True,44.88735929084578,29.905266719123574,0.007425000000000001
independent,500,1000,1.0,10,1.1192634525466156,True,25.400369605239575,2.2468407629403373,0.0051333333333333335
independent,500,1000,1.0,11,1.340724704486665,True,32.247181891036234,19.743660890407227,0.007508333333333333
independent,500,1000,1.0,12,1.048866374221335,True,38.50532048718924,29.243022027235384,0.017975
independent,500,1000,1.0,13,1.2436646900278947,True,16.954668809679788,15.452310848794696,0.040016666666666666
independent,500,1000,1.0,14,1.0261403870447723,True,30.415131935603313,-22.810239435278163,0.006308333333333335
independent,500,1000,1.0,15,1.4563888142627321,True,16.382303711593522,0.7742336272985995,0.004991666666666666
independent,500,1000,1.0,16,1.0133977280552227,True,35.29781903122148,27.20020965713593,0.006083333333333333
independent,500,1000,1.0,17,1.2505281874044467,True,8.131429869624299,-32.93237966952438,0.00545
independent,500,1000,1.0,18,1.2682403744979909,True,34.76744491551926,9.05134299040219,0.005758333333333334
independent,500,1000,1.0,19,1.2619405821962508,True,25.127111091469487,-3.9892010378607665,0.005658333333333334
independent,500,1000,1.0,20,1.1965401352527598,True,22.812887007879,-14.437362474776819,0.0061333333333333335
independent,500,1000,2.0,1,1.0,True,0.0,-172.286914440464,0.008641666666666667
independent,500,1000,2.0,2,1.0,True,0.0,-197.29830223746376,0.005825
independent,500,1000,2.0,3,1.0,True,0.0,-182.97358220263777,0.006258333333333334
independent,500,1000,2.0,4,1.0,True,0.0,-175.33474790176842,0.0053
independent,500,1000,2.0,5,1.0,True,0.0,-204.15125041244664,0.004275
independent,500,1000,2.0,6,1.0,True,0.0,-245.13706251848635,0.007683333333333334
independent,500,1000,2.0,7,1.0,True,0.0,-236.78032859393716,0.006441666666666668
independent,500,1000,2.0,8,1.0,True,0.0,-217.15933490910174,0.007775000000000001
independent,500,1000,2.0,9,1.0,True,0.0,-212.47418045063296,0.005666666666666667
independent,500,1000,2.0,10,1.0,True,0.0,-246.72365973537308,0.005925
independent,500,1000,2.0,11,1.0,True,0.0,-238.117168639581,0.0057083333333333335
independent,500,1000,2.0,12,1.0,True,0.0,-215.54092110572583,0.0070750000000000006
independent,500,1000,2.0,13,1.0,True,0.0,-173.3548254221978,0.0076166666666666666
independent,500,1000,2.0,14,1.0240664364702978,True,0.0,-208.1915849870993,0.010549999999999999
independent,500,1000,2.0,15,1.0,True,0.0,-233.74146065335026,0.005641666666666667
independent,500,1000,2.0,16,1.0357273644970033,True,0.0,-227.55555439652198,0.0049
independent,500,1000,2.0,17,1.0358384880813032,True,0.0,-205.96865733267623,0.005825
independent,500,1000,2.0,18,1.0358384880813027,True,0.0,-222.706679507447,0.0059833333333333336
independent,500,1000,2.0,19,1.0,True,0.0,-228.15004193824188,0.0066500000000000005
independent,500,1000,2.0,20,1.0,True,0.0,-207.99233090706366,0.005874999999999999
independent,500,1000,3.0,1,1.0,True,0.0,-401.79617705092824,0.006116666666666666
independent,500,1000,3.0,2,1.0,True,0.0,-397.3667452275695,0.0047666666666666664
independent,500,1000,3.0,3,1.0,True,0.0,-402.4287750657195,0.005833333333333333
independent,500,1000,3.0,4,1.0,True,0.0,-391.890763977156,0.004941666666666667
independent,500,1000,3.0,5,1.0,True,0.0,-389.41520591457447,0.0044
independent,500,1000,3.0,6,1.0,True,0.0,-381.64253239847403,0.006266666666666667
independent,500,1000,3.0,7,1.0,True,0.0,-336.4999158503706,0.004575
independent,500,1000,3.0,8,1.0,True,0.0,-373.5395353533395,0.005925
